  16475696.24054	   6403726.37120	1	3934	0	0	0	
  16475685.58078	   6403631.62200	1	3934	0	0	0	
  16475674.92103	   6403536.87280	1	3897	0	0	0	
  16475664.26127	   6403442.12360	1	3897	0	0	0	
  16475653.60151	   6403347.37440	1	3860	0	0	0	
  16475642.94175	   6403252.62520	1	3860	0	0	0	
  16475632.28199	   6403157.87600	1	3823	0	0	0	
  16475621.62223	   6403063.12680	1	3823	0	0	0	
  16475610.96248	   6402968.37760	2	3785	3786	0	0	
  16475600.30272	   6402873.62840	2	3785	3786	0	0	
  16475589.64296	   6402778.87920	2	3748	3749	0	0	
  16475586.08627	   6398189.73586	4	2897	2934	2898	2935	
  16475586.05025	   6398096.06862	2	2897	2898	0	0	
  16475586.01422	   6398002.40138	4	2860	2897	2861	2898	
  16475585.97819	   6397908.73414	2	2860	2861	0	0	
  16475585.94217	   6397815.06690	4	2823	2860	2824	2861	
  16475585.90614	   6397721.39966	2	2823	2824	0	0	
  16475585.87011	   6397627.73242	2	2823	2824	0	0	
  16475585.83409	   6397534.06518	2	2786	2787	0	0	
  16475585.79806	   6397440.39794	2	2786	2787	0	0	
  16475585.76203	   6397346.73070	2	2749	2750	0	0	
  16475585.72601	   6397253.06346	2	2749	2750	0	0	
  16475585.68998	   6397159.39622	2	2712	2713	0	0	
  16475585.65395	   6397065.72898	2	2712	2713	0	0	
  16475585.61793	   6396972.06174	2	2675	2676	0	0	
  16476814.60587	   6393824.79650	2	2126	2127	0	0	
  16476866.89133	   6393866.56950	1	2127	0	0	0	
